,0
0,Alaska
1,Arizona
2,Arkansas
3,California
4,Colorado
5,Hawaii
6,Idaho
7,Iowa
8,Kansas
9,Louisiana
10,Minnesota
11,Missouri
12,Montana
13,Nebraska
14,Nevada
15,New Mexico
16,North Dakota
17,Oklahoma
18,Oregon
19,South Dakota
20,Texas
21,Utah
22,Washington
23,Wyoming
